RECRD,VESSLTERMS,FEATURE_TYPE,LATDEC,LONDEC,GP_QUALITY,DEPTH
14615,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.129333,-80.113611,High,3
15083,WRECK,"Wreck - Submerged, nondangerous",18.448611,-65.599444,Med,25
8744,UNKNOWN,Wreck - Visible,18.327806,-64.958917,Low,0
11853,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.326253,-64.957542,High,23
11854,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.330389,-64.954472,High,23.75
11855,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.329167,-64.950306,High,32.6
11856,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.323817,-64.959108,High,55
11857,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.326375,-64.95135,High,26
11013,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.897069,-66.181119,High,
11014,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.932192,-66.260378,High,20
11049,UNKNOWN,Wreck - Visible,18.329722,-64.946667,Med,
11054,UNKNOWN,,18.351342,-64.853611,Low,0
11762,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.945089,-66.627319,High,21
11767,UNKNOWN,Wreck - Visible,17.973667,-66.616942,High,
11768,UNKNOWN,Wreck - Visible,17.966914,-66.616289,High,
11819,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.931778,-66.259333,High,26
10864,HMS LOWESTOFFE,"Wreck - Submerged, nondangerous",21.515556,-72.884444,Low,
197,LIBORIA C.,Not Charted,27.875381,-66.974078,Low,0
601,CLINTONIA,,34.586942,-63.415758,Low,0
907,UNKNOWN,Wreck - Visible,18.472306,-66.139056,High,0
1266,GATEWAY CLIPPER,"Wreck - Submerged, dangerous to surface navigation",18.333011,-64.952922,Low,0
1297,DRAVO,"Wreck - Submerged, dangerous to surface navigation",18.327011,-64.950194,High,2.6
1298,VICTORY,"Wreck - Submerged, dangerous to surface navigation",18.326847,-64.950272,High,1.5
3,FERNGARTH,"Wreck - Submerged, nondangerous",18.386675,-75.003183,High,39
400,VICTORY,Not Charted,29.454211,-70.879836,Low,0
414,KILE NO.1,Not Charted,29.618422,-63.810664,Low,0
790,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.748306,-64.702917,Poor,0
791,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.345231,-64.669022,Low,0
792,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.354675,-64.759581,Low,0
794,DIFFERENT DRUMMER,"Wreck - Submerged, dangerous to surface navigation",18.361342,-64.773192,Low,0
795,BALLY ONE,"Wreck - Submerged, dangerous to surface navigation",18.364675,-64.749581,Low,0
6835,UNKNOWN,Wreck - Visible,17.757194,-64.604861,Low,0
7052,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.4715,-66.130611,Med,0
14041,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335744,-64.935653,High,
14042,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335083,-64.924625,High,24
13780,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.459114,-66.092728,High,4.96
13784,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.450525,-66.101756,High,
13785,UNKNOWN,"Wreck - Submerged, nondangerous",18.481217,-66.132017,High,27.33
13786,UNKNOWN,"Wreck - Submerged, nondangerous",18.484647,-66.125219,High,54.35
12196,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.712142,-64.890128,High,15.1
10079,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.223028,-65.616278,Low,0
10082,LAKE ELLENDALE,"Wreck - Submerged, dangerous to surface navigation",18.221444,-65.600806,High,0
9770,FRENCH KISS,"Wreck - Submerged, dangerous to surface navigation",18.330839,-64.933231,High,8.2
9771,QUEST,"Wreck - Submerged, dangerous to surface navigation",18.330803,-64.933147,High,5.6
9772,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.330617,-64.932936,High,4.8
9773,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.329711,-64.934667,High,0.3
9774,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.331017,-64.932119,High,31
9775,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.330619,-64.934256,High,5.6
9777,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.333578,-64.932836,High,30
9778,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.331192,-64.933839,High,29
9781,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335075,-64.939711,High,4.6
9782,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335283,-64.93975,High,13
9784,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335694,-64.940039,High,0.6
9785,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.325164,-64.928556,High,9.9
9789,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.317947,-64.969697,High,14.6
9790,UNKNOWN,Wreck - Visible,18.326008,-64.950053,High,0
9791,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.303072,-64.973256,High,22.5
9794,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.314283,-64.962839,High,16.1
9798,UNKNOWN,Wreck - Visible,18.322528,-64.953778,High,0
9802,UNKNOWN,Wreck - Visible,18.327128,-64.958325,High,0
9803,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335125,-64.967031,High,6.1
9805,WIT CONCRETE,Wreck - Visible,18.324069,-64.957003,High,0
9806,MISS OPPORTUNITY,"Wreck - Submerged, dangerous to surface navigation",18.326194,-64.99355,High,16.2
9807,WIT SHOAL,"Wreck - Submerged, dangerous to surface navigation",18.313347,-65.041389,High,8.7
9808,MARLOGO,Wreck - Visible,18.32805,-64.960114,High,0
2734,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.472306,-66.156417,High,0
3317,ALEGRIAN NO.1,Wreck - Visible,22.281667,-72.673333,Low,0
2741,TRANSCARIBBEAN,Wreck - Visible,18.472972,-66.132914,High,0
2742,PROCK BARGE 19,Wreck - Visible,18.46925,-66.132861,High,0
2743,DUO,"Wreck - Submerged, dangerous to surface navigation",18.471611,-66.132942,Low,0
2751,ANTONIO LOPEZ,"Wreck - Submerged, nondangerous",18.478583,-66.231083,High,0
3318,UNKNOWN,,22.408333,-72.916667,Low,0
3319,UNKNOWN,Wreck - Visible,22.433792,-73.017539,Low,0
3321,UNKNOWN,Wreck - Visible,23.086667,-73.638333,Low,0
3323,WESTERN VENTURE,,23.1,-73.75,Poor,0
3324,COMMERCIAL DISPATCH,,23.083333,-75.833333,Poor,0
3325,ANTHONY P,,22.500456,-73.390894,Poor,0
3326,ARCHIE I,,22.420458,-72.985869,Poor,0
3327,LUCKY ERA,,22.367111,-72.7825,Poor,0
2779,CARL O,Wreck - Visible,18.468417,-66.132389,High,0
2538,CUMULUS,"Wreck - Submerged, dangerous to surface navigation",17.783583,-64.751253,Med,
2539,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.063019,-65.492936,Low,0
2540,HILDA,"Wreck - Submerged, dangerous to surface navigation",18.441333,-65.759606,Low,0
2542,IBERVILLE,"Wreck - Submerged, dangerous to surface navigation",18.443,-66.113358,Low,0
3159,UNKNOWN,Wreck - Visible,18.681944,-72.770556,Low,0
3160,JE CROIS EN DIUE,"Wreck - Submerged, nondangerous",18.666667,-73.1,Poor,0
3161,UNKNOWN,Wreck - Visible,18.95,-73.1625,Low,0
3162,JOHANNE,"Wreck - Submerged, nondangerous",19,-73,Poor,0
2892,LA PROFESORA II,"Wreck - Submerged, dangerous to surface navigation",18.464667,-65.982944,Low,0
2910,UNKNOWN,Wreck - Visible,18.442933,-66.112056,High,0
2911,UNKNOWN,,18.428447,-66.110694,High,0
2912,UNKNOWN,Wreck - Visible,18.452611,-66.10325,High,0
2913,UNKNOWN,Wreck - Visible,18.452556,-66.103444,High,0
2914,UNKNOWN,Wreck - Visible,18.452722,-66.103331,High,0
2915,UNKNOWN,Wreck - Visible,18.447528,-66.108583,High,0
2939,UNKNOWN,Wreck - Visible,22.604611,-74.350806,High,0
2942,EASTERN CLOUD,"Wreck - Submerged, nondangerous",22.417111,-74.499283,Poor,0
7783,CARIBE,"Wreck - Submerged, nondangerous",18.681325,-66.166278,Poor,0
15081,WRECK,"Wreck - Submerged, nondangerous",18.5,-65.8,Low,225
8536,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.303086,-64.919133,High,17.6
8537,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.311281,-64.915783,High,7.6
8538,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.312044,-64.915575,High,7.2
8555,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.327797,-64.9478,High,0.6
8557,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.336131,-64.938589,High,0
8559,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335058,-64.938592,High,0
8560,ESCAPADE,"Wreck - Submerged, dangerous to surface navigation",18.321883,-64.955142,High,0.2
8567,UNKNOWN,Wreck - Visible,18.323056,-64.952222,Med,0
8539,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.312439,-64.916947,High,8
8540,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.3116,-64.91885,High,36
8543,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.323364,-64.923397,High,6.3
8544,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.311511,-64.936375,High,14.6
8549,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.328875,-64.931356,High,1.6
8551,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.332667,-64.934572,High,0
15190,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.2701,-65.0178,High,29.36
15191,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.2553,-65.0126,High,36.54
15192,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.253222,-64.977833,High,32.79
15193,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.261361,-64.94125,High,32.15
15194,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.249556,-64.938806,High,33.65
4428,UNKNOWN,Wreck - Visible,17.749694,-64.697864,High,0
4429,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.749972,-64.698475,Low,0
4432,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.751833,-64.695419,Low,0
4433,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.752417,-64.695697,High,6
4434,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.754417,-64.702919,Med,0.6
4450,UNKNOWN,Wreck - Visible,21.702136,-73.788383,Low,0
4469,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.673031,-64.822922,Med,0
4471,UNKNOWN,Wreck - Visible,17.689864,-64.803144,High,0
4472,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.712067,-64.89,High,0
4514,UNKNOWN,Wreck - Visible,18.330714,-64.955333,High,0.8
3663,FANTOME,Wreck - Visible,25.261389,-76.953889,Low,0
14733,WRECK,"Wreck - Submerged, nondangerous",18.225192,-65.187431,Poor,15
15195,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.252917,-64.926639,High,36.89
14820,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.32975,-64.954639,High,5.19
15082,WRECK,"Wreck - Submerged, nondangerous",18.45,-65.75,Low,21
54106,WRECK,"Wreck - Submerged, dangerous to surface navigation",57.718111,-152.548833,High,7.62
53705,UNKNOWN,Wreck - Visible,59.474616,-151.342257,Poor,
53718,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",54.416639,-164.841139,Low,
50382,UNKNOWN,Wreck - Visible,60.551914,-145.761569,High,0
50384,UNKNOWN,"Wreck - Submerged, nondangerous",60.24945,-146.420375,Med,0
50385,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.516192,-151.347108,High,3
51030,UNKNOWN,Wreck - Visible,59.937328,-149.315883,High,1.1
50409,YUKON,Not Charted,59.924456,-148.850458,Poor,0
50416,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.780081,-152.387733,Low,0
50417,UNKNOWN,Wreck - Visible,57.779247,-152.383842,Low,0
50418,UNKNOWN,Wreck - Visible,57.775358,-152.400233,Low,0
50428,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.777219,-152.450542,High,0
50721,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",61.251208,-149.894281,High,28
50429,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.776692,-152.450736,High,0
50434,BAY ROAMER,"Wreck - Submerged, dangerous to surface navigation",60.138931,-151.662425,High,0
51734,GLACIER QUEEN,"Wreck - Submerged, nondangerous",59.149436,-144.718636,Low,0
51740,UNKNOWN,Wreck - Visible,57.532772,-154.005472,High,0
51741,UNKNOWN,Wreck - Visible,57.532828,-154.005806,High,0
51742,UNKNOWN,Wreck - Visible,57.53305,-154.015028,High,0
51750,UNKNOWN,Wreck - Visible,57.539939,-153.993583,High,0
51721,UNKNOWN,Wreck - Visible,60.477419,-145.940372,High,0
51722,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.532792,-145.787539,High,0
51756,UNKNOWN,Wreck - Visible,57.554272,-153.978692,High,0
51213,UNKNOWN,Wreck - Visible,57.246386,-156.372564,High,0
50194,PACIFIC,"Wreck - Submerged, dangerous to surface navigation",57.516308,-156.047108,High,7.1
50625,UNKNOWN,Wreck - Visible,59.429658,-151.715019,High,0
50292,SS NORTH WIND,Not Charted,54.865867,-159.168728,Poor,0
50010,AFOGNAK,,60.177783,-144.555303,Low,0
50080,DAVID FOSS,Not Charted,60.300886,-151.484903,High,0
50119,GEORGE F. FERRIS,"Wreck - Submerged, dangerous to surface navigation",60.326636,-151.452225,Med,0
50037,BAY ROAMER,"Wreck - Submerged, dangerous to surface navigation",60.140108,-151.658264,High,0
50101,ELNA,"Wreck - Submerged, dangerous to surface navigation",57.187572,-156.335281,High,0
52984,RAY MAR HOUSTON,Wreck - Visible,55.357222,-160.472397,High,
52986,CONQUEST,"Wreck - Submerged, dangerous to surface navigation",55.335642,-160.538983,High,
52756,UNKNOWN,"Wreck - Submerged, nondangerous",55.804444,-156.763333,Med,
52053,UNKNOWN,"Wreck - Submerged, nondangerous",56.583333,-157.716667,Low,0
52815,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.113472,-149.383417,Low,
53126,UNKNOWN,Wreck - Visible,60.8928,-146.824536,High,
53128,UNKNOWN,Wreck - Visible,60.899406,-146.703192,Med,
52237,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.77845,-148.663583,High,0
52589,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",59.965044,-147.7029,High,2
53088,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.943611,-151.084139,High,9.6
52654,FOX RIVER,"Wreck - Submerged, nondangerous",57.831167,-150.790833,Low,
51901,UNKNOWN,Wreck - Visible,61.240756,-150.002531,High,0
51906,UNKNOWN,Wreck - Visible,61.226561,-149.897881,High,0
51907,UNKNOWN,Wreck - Visible,61.233406,-149.894719,High,0
51911,UNKNOWN,Wreck - Visible,61.294122,-149.9167,High,0
52425,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.936108,-151.103906,Low,0
52430,G.W. KING,Wreck - Visible,60.227406,-147.7067,High,0
51962,UNKNOWN,Wreck - Visible,60.855389,-148.367083,High,0
51963,UNKNOWN,Wreck - Visible,60.855944,-148.3675,High,0
52439,CHILKOOE,"Wreck - Submerged, dangerous to surface navigation",60.366092,-147.073706,Low,0
52440,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.322725,-147.671992,Low,0
52441,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",56.308672,-158.381269,High,0
52463,UNKNOWN,Wreck - Visible,57.699569,-152.538883,High,
53704,WELL,,59.665949,-151.335449,High,
53578,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",55.335289,-160.540122,High,
53249,F/V ST. PETER,"Wreck - Submerged, nondangerous",60.603061,-145.803911,Med,
53803,F/V/ KANDU,"Wreck - Submerged, nondangerous",59.795,-151.913333,,11
54013,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.781196,-152.390258,Low,
54014,UNKNOWN,"Wreck - Submerged, nondangerous",57.783664,-152.099606,Low,
53992,WRECK,"Wreck - Submerged, dangerous to surface navigation",55.251178,-161.495475,High,19
53982,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",59.625694,-151.419806,High,1.1
54097,F/V SEAFARER,"Wreck - Submerged, dangerous to surface navigation",57.965958,-153.53557,Low,
54098,F/V GERTRUDE S,"Wreck - Submerged, nondangerous",58.009291,-153.405565,Low,57
15065,UNKNWON,"Wreck - Submerged, dangerous to surface navigation",37.000861,-75.370806,High,14.41
14822,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",37.084222,-75.919472,,6.86
14881,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.598528,-75.698139,Low,59
14217,UNKNOWN,"Wreck - Submerged, nondangerous",36.899272,-75.716281,High,12.7
14225,ATLANTIC MIST,"Wreck - Submerged, dangerous to surface navigation",37.918731,-75.058447,Med,58
8880,MARGARET,"Wreck - Submerged, dangerous to surface navigation",38.8651,-75.134439,High,21
11936,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.0391,-75.219936,High,11.1
11939,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.993019,-75.194706,High,11.6
11940,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.042428,-75.224911,High,16.1
11941,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.002586,-75.205172,High,3
11942,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.993839,-75.196211,High,10.4
11945,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.023808,-75.134089,High,18.3
11946,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.003147,-75.125711,High,12.3
11947,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.005472,-75.128503,High,12.5
11952,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.042231,-75.110014,High,14.8
11953,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.010861,-75.127944,High,14.5
11955,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.987064,-75.112475,High,6.5
11973,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.396589,-75.503239,High,16
11974,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.352628,-75.472339,High,9
11975,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.415672,-75.508056,High,23
10652,UNKNOWN,"Wreck - Submerged, nondangerous",38.602047,-74.67975,High,77
10657,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.524133,-74.791103,High,84.8
10681,UNKNOWN,"Wreck - Submerged, nondangerous",38.587408,-74.827558,High,76
10684,UNKNOWN,"Wreck - Submerged, nondangerous",38.632119,-74.845889,High,71
11074,WRECK,"Wreck - Submerged, dangerous to surface navigation",38.889978,-75.092686,High,51.87
11430,KINGSTON CELONITE,"Wreck - Submerged, dangerous to surface navigation",36.827216,-75.868392,High,15.39
11436,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.904846,-75.713439,High,12.07
11448,GULF HUSTLER,"Wreck - Submerged, dangerous to surface navigation",36.857956,-75.594969,Low,
10736,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.996517,-75.119747,High,12.2
11449,GULF HUSTLER,"Wreck - Submerged, dangerous to surface navigation",36.863486,-75.5063,Med,
10794,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.981222,-75.993806,High,37
803,SANTORE,"Wreck - Submerged, dangerous to surface navigation",36.897434,-75.780953,High,12.76
804,THOMAS F. POLLARD,,36.900147,-75.966317,Med,0
808,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.90389,-75.891293,High,14.57
815,FAYE,,36.915842,-75.848208,Low,0
816,EIDSVOLD,"Wreck - Submerged, nondangerous",36.916817,-74.999611,Poor,0
1132,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.747875,-74.598531,High,0
1133,J.R. WILLIAMS,"Wreck - Submerged, dangerous to surface navigation",38.752658,-74.906675,High,12.9
1134,UNKNOWN,Not Charted,38.761011,-74.5234,Low,0
1138,CITY OF GEORGETOWN,"Wreck - Submerged, dangerous to surface navigation",38.776081,-74.560436,High,0
817,B.A.VAN BRUNT,"Wreck - Submerged, nondangerous",36.92015,-74.716264,Low,0
819,VICKY,,36.925628,-74.847492,Low,0
831,UNKNOWN,"Wreck - Submerged, nondangerous",36.945147,-75.916314,Low,33
1145,GYPSUM PRINCE,"Wreck - Submerged, dangerous to surface navigation",38.804086,-75.067489,High,46
1148,UNKNOWN,,38.812611,-75.072956,Low,0
1149,B.F. MACOMBER,"Wreck - Submerged, dangerous to surface navigation",38.812531,-75.073667,High,54
1150,B.F. MACOMBER,"Wreck - Submerged, nondangerous",38.812981,-75.067808,High,54
1158,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.826608,-75.042869,High,71
833,WESTMORELAND,,36.935092,-75.954989,High,70
838,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.950144,-76.059653,Med,36
848,CARMINA,,36.959725,-76.021361,High,46
1161,TEXEL,Not Charted,38.833456,-73.202878,Low,0
1170,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.866778,-75.131292,Med,0
850,E H BLUM,,36.959311,-75.955483,Low,20
857,CHILORE,"Wreck - Submerged, dangerous to surface navigation",36.960561,-76.010642,High,46
1182,PLOW CITY,Not Charted,38.883481,-69.949419,Low,0
1210,ATLANTHUS,Not Charted,38.941778,-74.971842,Poor,0
1211,UNKNOWN,"Wreck - Submerged, nondangerous",38.949478,-75.175875,High,80
880,LILLIAN LUCKENBACH,"Wreck - Submerged, dangerous to surface navigation",36.976039,-75.412741,Low,19.98
886,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.983478,-76.066319,Med,0
1237,MOHAWK,"Wreck - Submerged, dangerous to surface navigation",39.002586,-75.205172,High,3
898,TREPCA,Not Charted,37.000153,-73.416206,Low,0
899,JUNIATA,"Wreck - Submerged, nondangerous",37.000147,-74.999614,Poor,0
903,JOHN MORGAN,"Wreck - Submerged, dangerous to surface navigation",37.001574,-75.407492,Low,22.76
906,UNKNOWN,"Wreck - Submerged, nondangerous",37.000981,-75.574636,Poor,0
921,COLUMBIA,"Wreck - Submerged, dangerous to surface navigation",37.038333,-76.033667,High,0
922,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",37.040144,-75.936317,Med,0
924,SAN DEMETRIO,Not Charted,37.05015,-73.832892,Low,0
925,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",37.050978,-75.764642,Low,
926,BRAZIL,"Wreck - Submerged, dangerous to surface navigation",37.055144,-75.851033,Low,0
927,FRANCIS O BOYLE,,37.055144,-75.854644,Low,24
1222,CAROLINA,Not Charted,38.950122,-73.099539,Low,0
1232,CHINA ARROW,Not Charted,37.991789,-75.174632,Low,
318,MARINE ELECTRIC,,37.881792,-74.776364,High,64
